Caption,Category
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Puppy crying in pain at Butwal. Please help!,Help
Puppy crying in pain at Itahari. Please help!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Puppy crying in pain at Pokhara. Please help!,Help
Puppy crying in pain at Dharan. Please help!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Puppy crying in pain at Itahari. Please help!,Help
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Abandoned kitten found in Itahari. Looking for a foster home.,Help
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Puppy crying in pain at Dharan. Please help!,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Puppy crying in pain at Butwal. Please help!,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Puppy crying in pain at Pokhara. Please help!,Help
Puppy crying in pain at Butwal. Please help!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Puppy crying in pain at Itahari. Please help!,Help
Puppy crying in pain at Dharan. Please help!,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Abandoned kitten found in Lalitpur. Looking for a foster home.,Help
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Puppy crying in pain at Itahari. Please help!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Puppy crying in pain at Itahari. Please help!,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Puppy crying in pain at Itahari. Please help!,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Puppy crying in pain at Butwal. Please help!,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Puppy crying in pain at Pokhara. Please help!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Puppy crying in pain at Dharan. Please help!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Puppy crying in pain at Pokhara. Please help!,Help
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Abandoned kitten found in Lalitpur. Looking for a foster home.,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Abandoned kitten found in Itahari. Looking for a foster home.,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Puppy crying in pain at Pokhara. Please help!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Puppy crying in pain at Itahari. Please help!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Puppy crying in pain at Butwal. Please help!,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Abandoned kitten found in Itahari. Looking for a foster home.,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Puppy crying in pain at Itahari. Please help!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Puppy crying in pain at Pokhara. Please help!,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Puppy crying in pain at Itahari. Please help!,Help
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Puppy crying in pain at Itahari. Please help!,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Injured stray dog spotted near Dharan. Immediate assistance needed!,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Puppy crying in pain at Dharan. Please help!,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Puppy crying in pain at Butwal. Please help!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Puppy crying in pain at Pokhara. Please help!,Help
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Abandoned kitten found in Itahari. Looking for a foster home.,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Puppy crying in pain at Pokhara. Please help!,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Puppy crying in pain at Itahari. Please help!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Puppy crying in pain at Butwal. Please help!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Puppy crying in pain at Pokhara. Please help!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Puppy crying in pain at Pokhara. Please help!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Injured stray dog spotted near Butwal. Immediate assistance needed!,Help
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Puppy crying in pain at Dharan. Please help!,Help
Puppy crying in pain at Butwal. Please help!,Help
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Puppy crying in pain at Dharan. Please help!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Puppy crying in pain at Itahari. Please help!,Help
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Puppy crying in pain at Pokhara. Please help!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Puppy crying in pain at Itahari. Please help!,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Wounded animal lying on the road at Dharan. Volunteers needed urgently!,Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Puppy crying in pain at Lalitpur. Please help!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Puppy crying in pain at Butwal. Please help!,Help
Abandoned kitten found in Lalitpur. Looking for a foster home.,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Wounded animal lying on the road at Itahari. Volunteers needed urgently!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Abandoned kitten found in Lalitpur. Looking for a foster home.,Help
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Wounded animal lying on the road at Biratnagar. Volunteers needed urgently!,Help
Puppy crying in pain at Dharan. Please help!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Injured stray dog spotted near Lalitpur. Immediate assistance needed!,Help
Puppy crying in pain at Bhaktapur. Please help!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Abandoned kitten found in Lalitpur. Looking for a foster home.,Help
Puppy crying in pain at Butwal. Please help!,Help
Abandoned kitten found in Itahari. Looking for a foster home.,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Puppy crying in pain at Biratnagar. Please help!,Help
Puppy crying in pain at Kathmandu. Please help!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Puppy crying in pain at Butwal. Please help!,Help
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
